age,height,gender,weight,,,,,
16.4,71.9,Male,164.6,,,,,
20.1,98.8,Male,165.4,,,,,100000
13.5,73.4,Male,115.4,,,,,90000
15.9,82.5,Male,182.7,,,,,60000
11.8,62.5,Female,111.6,,,,,40000
13.4,86.7,Female,128,,,,,50000
17.7,83.8,Male,150.7,,,,,50000
13.2,66.5,Female,134.9,,,,,85000
18,87.4,Female,162.4,,,,,75000
8.6,58.3,Female,77.2,,,,,110000
18.3,82.1,Female,120.9,,,,,120000
10.5,72.2,Female,103.9,,,,,
15.1,69.2,Female,117.5,,,,,
11.6,53.6,Male,84.3,,,,,
15.1,83.4,Female,107.2,,,,,
20.8,95.1,Male,191.5,,,,,
13.9,77.6,Male,97.8,,,,,
15,92.8,Male,114.4,,,,,
14.7,84.1,Female,98.5,,,,,
9.1,71.5,Male,85.1,,,,,
12.9,59.6,Female,118.8,,,,,
9.9,52.6,Female,95.2,,,,,
14.9,67.3,Male,134.1,,,,,
13.3,65.1,Male,97.9,,,,,
14.5,87.5,Male,127.4,,,,,
10.6,69.9,Male,103.1,,,,,
12.6,54.8,Female,101.4,,,,,
15,70.9,Female,108.1,,,,,
15.6,69.3,Female,131.2,,,,,
20.6,76.2,Female,133.4,,,,,
15.2,68.7,Female,134,,,,,
14.8,79.8,Female,111.1,,,,,
9,64.4,Male,69.6,,,,,
11.9,67,Female,101.3,,,,,
19.4,80.5,Female,123.7,,,,,
10.5,74.9,Male,71.8,,,,,
9.3,66.2,Male,67.2,,,,,
19.4,98.6,Male,189.3,,,,,
11.3,68,Female,114.7,,,,,
9.4,53.5,Female,76.8,,,,,
14.2,84.1,Female,132.7,,,,,
19.9,72.8,Male,199.5,,,,,
17,94,Male,153.2,,,,,
19.1,89.2,Male,156.8,,,,,
11.2,66.3,Male,103.8,,,,,
9.5,55.7,Male,70.3,,,,,
17.1,83.8,Female,172.7,,,,,
14.2,72,Female,141.4,,,,,
17.9,102.3,Male,171.5,,,,,
13.3,67.4,Male,95.9,,,,,
17.8,75.7,Male,184.9,,,,,
11.1,60.9,Female,98.5,,,,,
15,94,Male,133.6,,,,,
12.1,58.4,Female,85.4,,,,,
16.9,91.8,Female,134,,,,,
10.1,69,Female,89,,,,,
17.4,73.9,Female,171.1,,,,,
18.8,78.6,Male,151.4,,,,,
19.7,66.1,Female,175.8,,,,,
14.2,65.2,Male,108.6,,,,,
14.3,74.5,Female,118.5,,,,,
8.7,57.8,Male,58.1,,,,,
20,98.5,Male,203,,,,,
9.5,54.7,Male,75.3,,,,,
18.6,99.4,Female,152.1,,,,,
18.9,68.7,Male,194,,,,,
9.3,73,Male,70.9,,,,,
11.8,58.3,Male,106.4,,,,,
18.7,82.3,Male,159.3,,,,,
19.2,69,Female,129.2,,,,,
15.7,85.6,Male,121.5,,,,,
10.1,53.9,Male,84.5,,,,,
11.1,62.3,Female,86.1,,,,,
8.8,65.8,Male,79.1,,,,,
17.3,80.9,Male,148.1,,,,,
13.5,61,Male,105.2,,,,,
16,93.4,Male,143.5,,,,,
16.2,78.8,Male,143.3,,,,,
20,78.7,Male,172.3,,,,,
18.6,72.4,Female,156.1,,,,,
8.9,53.7,Female,77.3,,,,,
16.2,85.2,Male,121.3,,,,,
20.4,101,Male,220.5,,,,,
13.4,71.6,Female,119.1,,,,,
16.8,73.8,Female,132.5,,,,,
11.1,51.1,Female,85.4,,,,,
14.2,59.2,Female,128.5,,,,,
19.8,90.9,Female,115.9,,,,,
18.6,91.8,Male,208,,,,,
8,48.2,Female,66.2,,,,,
18,99.4,Male,183.5,,,,,
9.2,71.7,Male,88,,,,,
9.9,57.9,Male,85.7,,,,,
10,60.8,Female,100.7,,,,,
14.4,73.3,Female,137.1,,,,,
19.3,86.8,Female,127.5,,,,,
11.4,70.8,Female,77.5,,,,,
10.2,59,Male,73.5,,,,,
20.2,69.3,Female,150.7,,,,,
18.9,98.3,Male,180.9,,,,,
