age,height,gender,weight
16.4,67.4,Male,126.3
20.1,71.6,Male,159.4
13.5,63.4,Male,89.3
15.9,63.9,Male,127.5
11.8,56.9,Female,82.9
13.4,63.8,Female,107.3
17.7,67.8,Male,146.8
13.2,59.8,Female,100.3
18,68.2,Female,121.6
8.6,46.6,Female,57.3
18.3,68.1,Female,130.7
10.5,54,Female,76.1
15.1,69.6,Female,107
11.6,57.8,Male,77
15.1,65.5,Female,115
20.8,77.1,Male,169.9
13.9,65.2,Male,87.2
15,62.5,Male,122.7
14.7,63.3,Female,106.1
9.1,50.3,Male,62.2
12.9,55.8,Female,86.4
9.9,47.2,Female,69.1
14.9,62.9,Male,101.8
13.3,61.5,Male,95.2
14.5,59,Male,100
10.6,52.7,Male,69.4
12.6,50.9,Female,79
15,65.2,Female,120.4
15.6,67.4,Female,106.6
20.6,68.6,Female,128.5
15.2,65.2,Female,110.3
14.8,59.5,Female,112.5
9,53,Male,62.8
11.9,53.3,Female,81.3
19.4,67.5,Female,120.5
10.5,57.3,Male,75.2
9.3,53.5,Male,64.8
19.4,75.2,Male,140.6
11.3,53.1,Female,81.2
9.4,50.9,Female,64.4
14.2,59.3,Female,97.7
19.9,73.4,Male,145
17,72,Male,144.3
19.1,70.4,Male,154.9
11.2,58,Male,76.9
9.5,51.6,Male,64.1
17.1,68.1,Female,124.3
14.2,65.4,Female,108.3
17.9,73.2,Male,144.8
13.3,63.5,Male,82.5
17.8,73.1,Male,147.4
11.1,54.9,Female,85.2
15,67.7,Male,128.5
12.1,54,Female,82.3
16.9,69,Female,109.2
10.1,54.6,Female,74.7
17.4,70.5,Female,127.4
18.8,74.2,Male,157.8
19.7,69.9,Female,124.7
14.2,65.2,Male,94.7
14.3,62.3,Female,98.1
8.7,45.1,Male,58.5
20,74,Male,161.1
9.5,54.1,Male,65.3
18.6,67.9,Female,125.6
18.9,73.6,Male,142.5
9.3,52.7,Male,61.6
11.8,57.4,Male,82.1
18.7,75.8,Male,142.2
19.2,73.5,Female,117.9
15.7,69,Male,113.8
10.1,54.4,Male,70.4
11.1,53,Female,84.1
8.8,45,Male,58.9
17.3,69.2,Male,155.8
13.5,65,Male,96.7
16,65.3,Male,128.8
16.2,68,Male,121.6
20,70.8,Male,161.6
18.6,70.4,Female,127.6
8.9,47,Female,59.5
16.2,66.4,Male,124.6
20.4,68.2,Male,174.1
13.4,67.5,Female,95.4
16.8,67.9,Female,113
11.1,50.4,Female,82.8
14.2,61.3,Female,105.6
19.8,69.3,Female,121.2
18.6,72.1,Male,148.9
8,45.3,Female,57.3
18,72.3,Male,152.5
9.2,52.4,Male,64.9
9.9,53.3,Male,62.9
10,51.5,Female,77.1
14.4,63.2,Female,104.1
19.3,72.3,Female,124.2
11.4,54.5,Female,85
10.2,56.4,Male,73.7
20.2,75.1,Female,135.2
18.9,76.1,Male,158.5
