Period,price
3/31/02,114.86
6/30/02,120.8
9/30/02,154.25
12/31/02,141.67
3/31/03,172.93
6/30/03,199.7
9/30/03,193.47
12/31/03,223.27
3/31/04,236.2
6/30/04,258.97
9/30/04,257.51
12/31/04,267.38
3/31/05,304.76
6/30/05,296.8
9/30/05,296.55
12/31/05,339.8
3/31/06,346.03
6/30/06,364.84
9/30/06,389.1
12/31/06,408.79
3/31/07,407.27
6/30/07,431.4
9/30/07,422.63
12/31/07,453.51
3/31/08,463.65
6/30/08,479.19
9/30/08,500.27
12/31/08,510.37
3/31/09,530.15
6/30/09,537.79
9/30/09,574.65
12/31/09,564.03
3/31/10,587.6
