score,attendance,perf
18,0.6,Not-acceptable
25,0.7,Acceptable
18,0.4,Not-acceptable
25,0.7,Acceptable
22,1,Acceptable
22,0.4,Not-acceptable
14,0.6,Not-acceptable
24,0.6,Acceptable
23,0.6,Acceptable
15,0.6,Not-acceptable
20,0.7,Acceptable
18,0.8,Not-acceptable
18,0.6,Not-acceptable
21,0.7,Acceptable
18,0.6,Not-acceptable
24,0.6,Acceptable
24,0.7,Acceptable
15,1,Acceptable
19,0.9,Acceptable
20,0.9,Acceptable
16,0.9,Acceptable
19,0.8,Acceptable
20,0.5,Acceptable
19,0.9,Acceptable
14,0.8,Not-acceptable
17,0.7,Not-acceptable
21,1,Acceptable
18,0.6,Not-acceptable
21,0.7,Acceptable
24,0.7,Acceptable
21,0.9,Acceptable
17,0.6,Not-acceptable
21,0.8,Acceptable
23,0.7,Not-acceptable
23,0.9,Acceptable
19,0.5,Acceptable
15,0.7,Not-acceptable
22,0.8,Not-acceptable
20,0.7,Acceptable
24,0.7,Acceptable
21,0.8,Acceptable
15,0.7,Not-acceptable
19,0.8,Not-acceptable
25,0.9,Acceptable
23,0.7,Acceptable
19,0.6,Not-acceptable
17,0.7,Not-acceptable
15,0.8,Not-acceptable
16,0.6,Acceptable
18,0.6,Not-acceptable
20,0.7,Acceptable
17,0.6,Acceptable
19,0.6,Not-acceptable
20,0.9,Acceptable
17,0.9,Acceptable
16,0.5,Not-acceptable
20,0.9,Acceptable
19,0.9,Not-acceptable
15,0.7,Not-acceptable
21,0.8,Acceptable
13,0.5,Not-acceptable
20,0.9,Acceptable
18,0.8,Acceptable
17,0.9,Acceptable
20,0.9,Acceptable
21,0.8,Not-acceptable
20,0.7,Acceptable
15,0.7,Not-acceptable
19,0.5,Not-acceptable
22,0.9,Acceptable
21,0.8,Acceptable
22,0.7,Not-acceptable
20,0.5,Acceptable
17,0.7,Not-acceptable
23,0.6,Acceptable
23,0.6,Acceptable
